country,channel,current_metrics_time,current_volume_time,analysis_period,category,brand,currency,volume_unit,pack_name,current_volume,channel_pack_mix,price_elasticity,current_price_per_volume,current_price_per_pack,current_volume_per_pack,distribution_type,current_distribution,distribution_elasticity,current_trade,trade_elasticity,input_trade,trade_type
RSA,Massmart,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,ProNutro,ZAR,KG,400 - 500gm,154791.5,69.27987271138403,-4.265595772262716,74.2059414890353,37.145205338404,0.500569153804114,TDP,453.076923076923,5.805364401669443,0.00691868713512105,-1.0,-1.0,Promo
RSA,Massmart,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,ProNutro,ZAR,KG,1 - 1.5kg,64434.0,28.838659217627054,-2.7748665006198348,68.8579956079089,103.699803412411,1.50599509173776,TDP,189.230769230769,3.495003456942747,0.0102612021822145,-1.0,-1.0,Promo
RSA,Massmart,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,WeetBix,ZAR,KG,Total,2941223.873,100.0,-1.8050838398554696,42.8039965881917,58.9409390974877,1.37699616380559,TDP,430.636818786968,2.7262887938378215,0.0259377953197903,1.944356808923918,-1.0,Promo
RSA,Massmart,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,WeetBix,ZAR,KG,400 - 500gm,820649.704,27.90164025028638,-0.9570887017477709,36.9607889251124,45.4173112609456,1.22879712749009,TDP,202.288461538461,0.9163010577181386,0.0209475829353147,1.8433481183980087,-1.0,Promo
RSA,Massmart,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,WeetBix,ZAR,KG,750gm - 1kg,1254515.392,42.65283589992131,-1.4086122548491256,43.7081922833833,63.2672652437688,1.44749215052349,TDP,164.615384615385,2.9479815799004645,0.0259461728502169,2.076002017690203,-1.0,Promo
RSA,Massmart,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,WeetBix,ZAR,KG,1 - 1.5kg,866058.765,29.445523441798883,-3.2935121060870225,47.0310759247382,67.7234766701971,1.43997293998913,TDP,101.807692307692,4.465133840928468,0.00736248311116328,1.8805888476835189,-1.0,Promo
RSA,Massmart,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,WhiteStar,ZAR,KG,Total,968889.0,100.0,-3.57600408723672,16.1701557846152,32.7048999006354,2.0225469894206,TDP,344.361429337505,0.5471874233690934,0.0114029040688447,6.832637141554093,-1.0,Promo
RSA,Massmart,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,WhiteStar,ZAR,KG,750gm - 1kg,672215.0,69.3799805756903,-2.8757776826021897,16.3787227702446,30.0599371691298,1.83530410709069,TDP,453.115384615385,0.42518489950021554,0.0162423064806713,6.06633360069602,-1.0,Promo
RSA,Massmart,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,WhiteStar,ZAR,KG,1.5 - 2.5kg,296674.0,30.620019424309696,-5.068967995192614,15.6975771958446,41.2951719530038,2.63067169142097,TDP,202.5,0.8073109542873962,0.00415765245089388,8.466485167660778,-1.0,Promo
RSA,PNP,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,BokomoBran,ZAR,KG,Total,169161.75,100.0,-1.5639256994050834,77.5787826266872,51.0771824140239,0.658391130727196,TDP,289.664577259732,0.6383423266820775,0.00657919741352933,2.512533102860976,-1.0,Promo
RSA,PNP,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,BokomoBran,ZAR,KG,300 - 400gm,19494.75,11.524325091221863,-2.3672047899037016,108.388843970813,40.6458164890548,0.375,TDP,53.3461538461538,0.31667295233161247,0.000265798452201572,5.398974743023575,-1.0,Promo
RSA,PNP,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,BokomoBran,ZAR,KG,400 - 500gm,42007.0,24.83244586911639,-1.2286982091412364,83.1593879353441,41.5796939676721,0.5,TDP,69.4230769230769,0.4041937389169274,0.000151709736736394,2.559121392509975,-1.0,Promo
RSA,PNP,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,BokomoBran,ZAR,KG,500 - 750gm,43056.0,25.452562414375592,-1.6805277583650051,72.6263923262728,54.4697942447046,0.75,TDP,66.4038461538462,0.7415674682432681,0.015263903683634,1.5403440740899481,-1.0,Promo
RSA,PNP,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,BokomoBran,ZAR,KG,750gm - 1kg,64604.0,38.19066662528615,-1.461243939437574,67.9535451210451,69.1088538032869,1.01700144827152,TDP,68.2115384615385,0.8158861317806909,0.000262800245221373,2.287477781912788,-1.0,Promo
RSA,PNP,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,BokomoCooking Oats,ZAR,KG,Total,64711.0,100.0,-1.5639256994050834,35.9454418259647,32.8898022708313,0.914992293878936,TDP,109.569933563538,0.6383423266820775,0.010269944230844,2.512533102860976,-1.0,Promo
RSA,PNP,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,BokomoCooking Oats,ZAR,KG,400 - 500gm,6012.0,9.290537930181886,-9.536652056614871,45.7596492015968,22.8798246007984,0.5,TDP,10.5384615384615,1.4229328174801903,0.000209298312549657,13.56481308666983,-1.0,Promo
